TALK_CODE,TALK_CHAR_NAME,TALK_NAEYONG,TALK_MOVE
0,51,"세상에… 여기는 아직 깨끗하잖아?\n하늘은 맑고, 꽃도 활짝 피었어.",-1
1,51,맨날 스모그로 가득 찬 도시와는 비교도 할 수 없을 정도야.,-1
2,51,왜 이곳만 이렇게 깨끗한 거지?\n단순히 멀리 떨어져 있어서인가?,-1
3,51,아직도 이런 곳이 남아 있었다니.,-25
4,52,맑은 공기와 깨끗한 시냇물.\n새소리와 함께 눈을 뜨고 작은 텃밭에서 채소를 키우고.,-1
5,52,도시에서 살 때는 하루하루가 바쁘고 치열했어.,-1
6,52,"지금은 가끔 심심하다고 느낄 때는 있지만, 이렇게 자연과 더불어 평화롭고 느긋하게 사는 삶이 더 좋아.",-25
7,53,… 결국 아무도 오지 않았군.,-1
8,53,"하긴, 그때도 나를 이해하는 사람은 없었으니.\n왜 사람도 자연과 더불어 살아가야 하는 존재라는 걸 모르는 건지.",-1
9,53,이 숲만은 지금의 모습을 오랫동안 간직했으면 좋겠군.,-1
10,53,가능하다면 다른 곳도 여기처럼…!,-25
